idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
186,0.476287,0.039005,0.391069,0.302861,0.222322,-0.926740,0.776258,-0.627349,0.062102,0.003142,0.733715
187,0.479600,0.038268,0.391943,0.282600,0.230652,-0.931095,0.838080,-0.538513,0.087328,0.003505,0.737219
188,0.483509,0.038132,0.392782,0.265138,0.235879,-0.934913,0.884953,-0.453300,0.106663,0.004001,0.741220
189,0.487490,0.037949,0.393666,0.236445,0.235907,-0.942572,0.919438,-0.374298,0.120561,0.004082,0.745302
190,0.491464,0.037731,0.394630,0.219955,0.230020,-0.948003,0.944113,-0.303298,0.129076,0.004095,0.749398
191,0.495521,0.037501,0.395485,0.199043,0.236554,-0.951012,0.961322,-0.241386,0.132641,0.004152,0.753550
192,0.499638,0.037295,0.396311,0.170255,0.247902,-0.953707,0.973213,-0.188380,0.131796,0.004204,0.757754
193,0.503743,0.037148,0.396866,0.155615,0.245666,-0.956782,0.981581,-0.143348,0.126295,0.004145,0.761899
194,0.507999,0.036957,0.397488,0.136405,0.248825,-0.958895,0.987470,-0.105794,0.117097,0.004306,0.766204
195,0.512222,0.036724,0.398140,0.123431,0.250540,-0.960205,0.991500,-0.075552,0.105919,0.004280,0.770484
196,0.516473,0.036467,0.398882,0.107136,0.253146,-0.961478,0.994218,-0.052236,0.093821,0.004323,0.774807
197,0.520814,0.036328,0.399345,0.088846,0.257861,-0.962088,0.996111,-0.035018,0.080844,0.004367,0.779174
198,0.525022,0.036328,0.399299,0.072969,0.260436,-0.962730,0.997544,-0.022726,0.066260,0.004208,0.783382
199,0.529367,0.036449,0.398991,0.058482,0.264095,-0.962722,0.998642,-0.014127,0.050141,0.004358,0.787740
200,0.533761,0.036509,0.398917,0.039974,0.268039,-0.962578,0.999416,-0.008033,0.033217,0.004395,0.792135
201,0.537935,0.036413,0.399496,0.023028,0.270414,-0.962469,0.999862,-0.003354,0.016270,0.004215,0.796350
202,0.542222,0.036482,0.399573,0.003281,0.272003,-0.962291,1.000000,0.000766,-0.000413,0.004289,0.800639
203,0.546388,0.036562,0.399574,-0.011994,0.273341,-0.961842,0.999838,0.004662,-0.017360,0.004167,0.804806
